,Expected_value_update_width,Estimated_value,std_of_Estimated_value,SMILES
183,87.11759056969609,419.51717086490135,417.3099438090241,CC(C)C(C)O
184,87.07811542030332,313.15795246732296,316.1586145461441,CCCCCCCC
185,86.39304708628909,431.0185916900016,425.525934969323,CCC(CC)CO
186,86.19079691458319,383.2813566761016,381.73150978168417,ClCCCCl
187,85.85237964545263,272.1330677042773,269.7329018581803,C=CC(=C)C
188,85.23408385430149,473.62513874139654,459.2591503844162,OCCCCO
189,84.43653145377371,438.6531341480768,426.7194536958469,CC(C)CC(=O)O
190,84.09827374048751,260.8572257977676,252.75924253878455,C=C(C)CC
191,84.07716495232985,246.2650882459928,235.97887117123383,C=CCC
192,83.79742880776492,376.08166949962606,368.51671752775223,CCCC(=O)CC
193,83.15871710753109,334.48353912424517,327.14407055279736,CC(C)O
194,82.51089164371365,446.6140388877407,428.1673625703144,CCC(CC)C(=O)O
195,81.6786755611179,291.34112719919125,279.64427187266926,CCCCCC
196,80.95102757476202,418.84165408501525,399.40800628120405,CCC(C)CO
197,80.85323144331309,340.73550104594926,327.0947132171989,CCCC(C)=O
198,80.7882544175217,403.30433698409513,385.0983352059331,CC(C)CO
199,80.63366863809483,277.49198263747843,262.2495461648114,C=C(CC)CC
200,80.31494145310855,477.69343074676976,448.3539336972874,OCCCO
201,79.53267973245423,283.1736310705606,265.50634594964885,CCC=COC=CCC
202,78.38448206229984,278.2544875079562,257.31467480258823,CCCCC
203,76.28108673661916,255.45201454781534,226.88558609208374,C=C(C)C
204,76.26215496077472,355.80416169557907,329.09467422640375,C=C(C)C(C)=O
205,75.53063383547149,429.89010391263247,393.6695175226022,CCC(C)C(=O)O
206,75.41049097313034,343.95857005370624,315.6070050652699,CCCCC(C)=O
207,74.75422454834941,429.2859028163018,390.9184139887907,CC(C)C(=O)O
208,71.91559528803361,294.6574134926698,257.8203015746805,COC(C)C
209,70.25599655482193,395.78767827483216,348.8521500485171,CCCC(=O)OCC
210,67.90940133327925,276.67393304335445,228.76376813565363,CCOCC
211,67.25333572230184,390.8830127655294,336.0390065382918,CCOC(=O)CC
212,66.7389224376006,364.93766613087286,311.4262414974299,CCCCCC#N
213,66.4468505626922,485.3463703674073,413.17424322618956,CC(O)CCO
214,66.23928115725391,348.5013576917788,295.0039249290805,CCCCCCOCCCCCC
215,66.23928115725391,348.5013576917788,295.0039249290805,CCCCCCOCCCCCC
216,66.08513049489329,319.60652187314156,267.2893552971711,CC(C)(C)Cl
217,65.98936024759487,332.19132826958696,279.0665245947033,CCCCCC=O
218,65.14007304252422,354.3682984115166,297.3847726517401,CCC(C)=O
219,64.59407049869236,357.81575232045304,299.0230359397106,CCCCC#N
220,64.30591954458467,262.55007120883363,204.38471169566358,CCCC
221,64.09451049623149,325.35193954037084,267.4709724714435,CCCCC=O
222,61.773225672030556,382.2638945762168,312.9292423447914,C=CCOC(C)=O
223,60.945413095225575,363.43478763178564,293.9405382697698,CCCC#N
224,60.78349896670644,349.8640575774984,281.2554189984191,CCCCCCN
225,59.87656669831565,312.0057286758816,243.38416007141169,CCCCOCCCC
226,59.86316731231702,405.7643853647295,327.68627810962425,CCCOC(=O)CC
227,59.73865760376401,371.0674896162492,297.3233137915496,CC(=O)OC(C)C
228,59.006297300656925,382.1510992619621,304.941543930252,C=CC(=O)OCC
229,56.607119044601866,397.63776262300007,311.2906934091762,C=CC(=O)OCCCC
230,52.64590904575676,366.24332155466897,272.92954323331946,CCOC(C)=O
231,51.306577548234564,385.709766297922,285.69185100483986,CCC(C)OC(C)=O
232,50.14643873581617,336.78703969174245,239.89701442699342,CCCCCCl
233,50.03991493840796,379.8197304687095,277.00766931475147,CCCC(C)O
234,48.67684464010981,343.93680684599536,242.12905825978015,CCCCCN
235,48.1281365196039,429.56552296104815,312.00957032710386,Cc1ccccn1
236,47.90181750029768,347.8061724497234,243.3307496006438,CCCCC(=O)[O-]
237,47.90181750029768,347.8061724497234,243.3307496006438,CCCCC(=O)[O-]
238,47.529704172619546,325.25879323387727,222.22783375122822,CCCCN
239,46.13534684410353,394.0190053339214,277.2199156391833,CCCCC(C)O
240,45.29127493171782,333.2019114475197,223.08682101161963,CCC(C)N
241,44.87482073439658,321.95943399135325,211.87385873319482,CCCCCl
242,44.30848962584041,385.777380212502,264.9601859681431,CCC(=O)OC
243,44.114024078535316,397.3662040526246,273.8111404681382,CCCCCCO
244,44.11209664387333,446.75300694013583,312.7858170276896,CCCCCCCCCCO
245,43.55484103354053,376.85513734029826,255.3528995853607,CCCCOC(C)=O
246,42.89510025882363,323.4065248559524,207.6460622555618,CCC(C)Cl
247,42.482551326740236,334.55987344124026,216.32821520013837,CCCC=O
248,42.32236707098262,391.6563412415892,263.72080751473413,CCC(O)CC
249,41.96119411028907,412.5180499773541,279.2522982668158,CCCCC(=O)O
250,41.69381560542329,374.2307318159779,247.61395407596098,CCC(C)O
251,41.57267570661987,418.6117322337073,282.81577688672866,CCCCCC(=O)O
252,38.915063953904685,351.504044401363,220.4831639621172,CC(C)Br
253,38.47369655028152,400.8087720966287,259.06760040022493,CCCC(=O)O
254,36.316043266245494,355.8482599946658,216.3452767762041,CCCCBr
255,33.26045465079071,383.1566043722337,228.74966248033923,CCCCCO
256,31.513888043813566,420.5843662776586,251.45375850256121,Cc1cccnc1
257,29.701783939084713,375.60875361149107,211.505495634821,CCCCO
258,25.806326990600347,535.538933456221,310.00234057533555,CCCCCCCCCCCCCCCCCC(=O)O
259,17.481151614296316,282.8177853900302,99.68809273352174,CCCOCCC
