,BoilingPoint,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BertzCT,Chi0,Chi0v,Chi1,Chi1n,Chi1v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA5,SlogP_VSA2,SlogP_VSA5,TPSA,EState_VSA2,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState4,VSA_EState6,VSA_EState7,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_benzene
sample_133,473.6,5.519814815,0.868055556,5.519814815,0.868055556,0.500282,107.156,98.084,107.0734993,42,0.03432088,-0.398514098,0.398514098,0.03432088,1.25,1.875,14.54580357,10.19678368,1.840287818,-1.93304226,2.059019307,-1.854617202,5.444284158,1.473148293,160.4966295,5.983127663,4.886751346,3.804530453,2.616025404,2.616025404,1.18846138,1.18846138,0.586787657,0.586787657,-0.98,72.49526583,5.162450142,1.864622199,0.808016781,49.13623593,5.733667477,18.19910121,18.55355576,5.687386275,0,0,6.9237372,0,5.563451492,26.02,0,0,0,5.733667477,0,0,7.533703704,7.804259259,0,1.99537037,8,2,1,1.57722,35.5914,0,0,1
sample_134,421,10.34634637,-0.330138889,10.34634637,0.330138889,0.32571682,128.171,116.075,128.0837296,52,0.329637876,-0.462546367,0.462546367,0.329637876,1.777777778,2.444444444,16.53186128,10.35802894,1.908399136,-1.966611422,1.875283434,-2.002028702,5.806046346,-0.137327897,97.08927323,7.112884175,5.722273975,4.308060412,3.100953631,3.100953631,0.908878596,0.908878596,0.376024148,0.376024148,-0.79,94.26737929,8.21,5.348696255,5.074900257,55.51436801,4.736862954,19.92349451,6.420821623,6.076020107,6.606881965,9.531400138,19.76538045,12.57618725,19.76538045,26.3,5.969305288,6.076020107,11.31579864,0,4.674583333,0,0,0,3.152443311,5.82343254,9,0,0,1.5157,36.064,0,0,0
sample_135,405.1,10.37597222,-0.343796296,10.37597222,0.343796296,0.423598256,128.171,116.075,128.0837296,52,0.329647699,-0.462272912,0.462272912,0.329647699,1.777777778,2.333333333,16.53239943,10.24163622,1.962061359,-2.023040036,1.917072958,-2.059653477,5.806209277,-0.138255283,105.4837784,7.276020882,5.885410682,4.16390246,2.956795679,2.956795679,0.725592232,0.725592232,0.307725445,0.307725445,-0.79,78.51304536,8.21,4.125077866,5.074900257,55.51436801,4.736862954,20.42641008,5.917906046,6.076020107,6.606881965,9.531400138,13.8474744,12.57618725,13.8474744,26.3,5.969305288,6.076020107,6.578935684,4.736862954,4.695601852,0,0,0,1.169027778,7.706064815,9,0,0,1.3716,35.994,0,0,0
sample_136,376.6,2.301574074,1.097222222,2.301574074,1.097222222,0.472575834,98.189,84.077,98.10955045,42,-0.041690858,-0.065118181,0.065118181,0.041690858,1.285714286,1.857142857,14.16581175,10.06709918,2.105565165,-1.99226671,2.260285178,-1.859529876,4.638598147,0.530509909,42,5.112884175,5.112884175,3.431851653,3.431851653,3.431851653,2.052095141,2.052095141,1.418611262,1.418611262,0,66.31310983,5.142857143,2.34375,1.185185185,45.92307256,0,39.02784531,5.917906046,0,0,0,39.02784531,0,39.02784531,0,0,32.10410811,6.9237372,0,0,0,0,0,7.434537037,2.301574074,7,0,0,2.5866,32.249,0,0,0
sample_137,362.9,2.296296296,0.865740741,2.296296296,0.865740741,0.500181791,100.205,84.077,100.1252005,44,-0.042223387,-0.065118468,0.065118468,0.042223387,1.142857143,1.571428571,14.06688122,9.959180683,2.006427673,-2.101310606,2.113159453,-1.998760246,4.516176878,0.407449229,37.30296891,5.86180732,5.86180732,3.180739213,3.180739213,3.180739213,1.782021738,1.782021738,0.471404521,0.471404521,0,27.9770933,7,3.06122449,2.666666667,46.92890371,0,34.11577042,11.83581209,0,0,0,34.11577042,0,34.11577042,0,0,6.420821623,27.6949488,0,0,0,0,0,1.31712963,9.081018519,7,0,0,2.6885,34.293,0,0,0
sample_138,371.6,2.245694444,1.361111111,2.245694444,1.361111111,0.476309874,100.205,84.077,100.1252005,44,-0.053326092,-0.065382383,0.065382383,0.053326092,0.714285714,1.142857143,13.86223338,10.16409857,1.796206848,-1.901933057,1.995333383,-1.702801434,4.354233383,0.656098566,19.21928095,5.535533906,5.535533906,3.414213562,3.414213562,3.414213562,1.207106781,1.207106781,0.676776695,0.676776695,0,35.50960993,7,6,6,46.92890371,0,45.95158251,0,0,0,0,45.95158251,0,45.95158251,0,0,32.10410811,13.8474744,0,0,0,0,0,7.008611111,4.491388889,7,0,0,2.9767,34.433,0,0,0
sample_139,363.2,2.273472222,0.902731481,2.273472222,0.902731481,0.511270349,100.205,84.077,100.1252005,44,-0.047132749,-0.065382212,0.065382212,0.047132749,1.285714286,1.857142857,13.94608135,10.0801429,1.882187693,-1.983765768,2.037532459,-1.834667333,4.417096157,0.549642554,29.01955001,5.698670613,5.698670613,3.27005561,3.27005561,3.27005561,1.135027805,1.135027805,0.612372436,0.612372436,0,29.01955001,7,4.166666667,6,46.92890371,0,40.03367647,5.917906046,0,0,0,40.03367647,0,40.03367647,0,0,19.26246487,20.7712116,0,0,0,0,0,4.145185185,6.785416667,7,0,0,2.8326,34.363,0,0,0
sample_14,308.9,5.274691358,0.305555556,5.274691358,0.305555556,0.386541834,78.542,71.486,78.0236279,26,0.027912831,-0.123611771,0.123611771,0.027912831,1.5,1.5,35.49574318,10.57709345,1.711117356,-1.75513732,1.842508685,-1.703773904,6.195516775,1.098397809,8,3.577350269,3.711243688,1.732050808,1.372918429,1.809354209,0,0,0,0,0.29,3.245112498,4.29,1.593951368,45.31259215,31.77240148,0,0,13.8474744,5.377087868,0,0,19.22456227,5.377087868,13.8474744,0,0,0,0,11.60093989,0,0.305555556,0,0,0,3.864197531,4,0,0,1.6336,20.989,0,0,0
sample_140,365,2.309027778,0.949074074,2.309027778,0.949074074,0.511270349,100.205,84.077,100.1252005,44,-0.044552451,-0.065372426,0.065372426,0.044552451,1.285714286,1.857142857,13.98369322,10.04240028,1.921034308,-2.020283745,2.067663286,-1.877939526,4.451311173,0.508967293,31.01955001,5.698670613,5.698670613,3.308060412,3.308060412,3.308060412,1.478397839,1.478397839,0.696923425,0.696923425,0,31.91663524,7,4.166666667,3.84,46.92890371,0,40.03367647,5.917906046,0,0,0,40.03367647,0,40.03367647,0,0,19.26246487,20.7712116,0,0,0,0,0,4.082685185,6.801574074,7,0,0,2.8326,34.363,0,0,0
sample_141,418.3,3.630925926,1.173611111,3.630925926,1.173611111,0.512605938,104.152,96.088,104.0626003,40,-0.026255789,-0.09847005,0.09847005,0.026255789,1.125,1.75,13.81386693,10.21337852,1.753175678,-1.847610823,1.969026457,-1.63323054,5.452095615,1.666574467,162.6530014,5.819990956,4.671208396,3.931851653,2.607607028,2.607607028,1.035274752,1.035274752,0.589121682,0.589121682,-1.04,91.36757728,5.103678161,2.31410722,0.968848852,49.47168432,0,42.98679113,5.563451492,0,0,0,0,0,5.563451492,0,0,5.563451492,6.578935684,0,0,0,1.173611111,10.0287963,1.833333333,3.630925926,8,0,0,2.3296,36.533,0,0,1
