,BoilingPoint,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BertzCT,Chi0,Chi0v,Chi1,Chi1v,Chi2v,Chi3n,Chi3v,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA1,SMR_VSA9,SlogP_VSA2,TPSA,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState6,VSA_EState7,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_ether,fr_unbrch_alkane
sample_210,589.9,11.36247733,-0.06641231,11.36247733,0.321866146,314.466,280.194,314.2457096,130,0.305277514,-0.465675192,0.465675192,0.305277514,0.590909091,0.954545455,1.318181818,16.5357099,10.08276596,2.032194236,-2.046116221,2.094962631,-2.052279752,5.690522061,-0.14441704,248.2607212,16.46840904,14.5324881,10.70190726,9.015167194,5.769367486,3.533683018,3.533683018,2.050803086,-1.06,57242.79712,20.94,16.31292159,15.33114334,135.4934016,9.473725908,52.37240414,25.68328649,12.84164325,19.06280028,0.0,25.1523745,52.6,0.0,13.8474744,9.473725908,10.20766951,0.0,0.0,11.25094988,5.282583915,22,0,0,4.7938,88.67,0,0,2,7
sample_211,603.0,2.29544658,1.37345679,2.29544658,0.252005312,268.529,228.209,268.3130013,116,-0.053305973,-0.065382383,0.065382383,0.053305973,0.263157895,0.421052632,0.578947368,13.99970374,10.03659931,1.935247454,-2.027833368,2.132803745,-1.830300688,4.491703745,0.528599312,122.9737366,14.02081528,14.02081528,9.414213562,9.414213562,6.303300859,4.207106781,4.207106781,2.798097039,0.0,16439.97693,19.0,18.0,18.0,123.3082091,0.0,123.001442,0.0,0.0,0.0,0.0,0.0,0.0,109.1539676,13.8474744,0.0,0.0,0.0,0.0,24.90910684,4.590893161,19,0,0,7.6579,89.837,0,0,0,14
sample_212,623.1,11.42955362,-0.001718424,11.42955362,0.17870564,340.592,296.24,340.3341306,144,0.305277514,-0.465675192,0.465675192,0.305277514,0.541666667,0.916666667,1.333333333,16.53236129,10.0381888,2.013764372,-2.043022712,2.133519004,-2.047187947,5.686921106,-0.143407153,250.3544698,17.71948589,16.75152542,11.80806041,10.96469038,7.273771039,4.745394899,4.745394899,3.043168496,-0.53,173172.8736,23.47,20.51450378,19.51657662,151.6781028,4.736862954,110.1597987,12.84164325,6.420821623,9.531400138,0.0,12.57618725,26.3,89.89150272,13.8474744,4.736862954,5.162608113,0.0,0.0,23.07707038,4.999152984,24,0,0,7.5912,105.413,0,0,1,14
sample_213,371.1,10.04398148,0.064814815,10.04398148,0.435430016,84.118,76.054,84.05751488,34,0.15441298,-0.29490791,0.29490791,0.15441298,1.5,1.666666667,1.666666667,16.13744334,10.25292781,1.854063119,-1.803741519,1.83569428,-1.858495187,5.913001382,-0.113051517,69.93923455,5.154700538,4.115355072,2.64273441,1.807677536,1.336516304,0.601007552,0.601007552,0.0,-0.59,13.60964047,5.41,1.752075502,1.703255132,37.67093855,0.0,6.578935684,19.42057893,0.0,4.794537184,0.0,5.783244946,17.07,6.9237372,6.578935684,0.0,0.0,0.0,0.0,0.0,6.604166667,6,0,0,1.1515,25.495,0,0,0,0
sample_214,361.3,5.227623457,-0.171296296,5.227623457,0.45695844,112.987,106.939,111.9846556,32,0.107126299,-0.105408162,0.107126299,0.105408162,1.6,1.8,1.8,35.53916637,10.57648193,1.86026767,-1.840970838,2.029933511,-1.752603918,6.43682393,1.038485724,18.85475297,4.28445705,4.552243888,2.27005561,2.424662413,2.076375879,0.3086067,0.9258201,0.0,0.58,9.651484454,5.58,2.798340611,4.58,42.07566771,0.0,6.9237372,6.420821623,0.0,0.0,0.0,4.83626969,0.0,0.0,0.0,23.20187978,0.0,0.0,0.0,0.836419753,1.935185185,5,0,0,2.2001,25.785,0,0,0,0
sample_215,393.6,5.21720679,0.684027778,5.21720679,0.47909543,112.987,106.939,111.9846556,32,0.023429491,-0.126671743,0.126671743,0.023429491,1.0,1.4,1.4,35.49682853,10.57706778,1.716971059,-1.750517803,1.844304488,-1.703004338,6.199378627,1.108862398,12.36452798,4.121320344,4.389107182,2.414213562,2.603567451,1.48744681,0.267261242,0.801783726,0.454568645,0.58,11.2451125,5.58,4.58,4.58,42.07566771,0.0,0.0,6.420821623,11.76000689,0.0,0.0,11.76000689,0.0,0.0,0.0,23.20187978,0.0,0.0,0.0,0.919753086,0.0,5,0,0,1.8541,26.057,0,0,0,0
sample_216,487.6,7.90625,0.09375,7.90625,0.459049307,76.095,68.031,76.0524295,32,0.045238237,-0.396286473,0.396286473,0.045238237,1.0,1.4,1.4,16.26511965,10.50349217,1.698723971,-1.790925687,1.647180149,-1.847796256,4.21696275,0.220996731,12.36452798,4.121320344,3.015747535,2.414213562,1.632455532,0.800766986,0.316227766,0.316227766,0.070710678,-0.08,11.2451125,4.92,3.92,3.92,31.05760276,10.21305479,0.0,6.420821623,13.21376393,10.21305479,0.0,23.42681872,40.46,0.0,0.0,10.21305479,0.0,15.8125,0.0,0.5,0.1875,5,2,2,-0.6389,18.7886,2,2,0,0
sample_217,376.8,7.893518519,0.189814815,7.893518519,0.418494417,69.107,62.051,69.05784922,28,0.064945717,-0.198057275,0.198057275,0.064945717,1.6,1.8,1.8,14.23521384,10.26450903,1.781572597,-1.753927998,1.814639562,-1.722311374,4.721935076,0.849099145,49.1585155,4.28445705,3.524563865,2.27005561,1.666982471,1.283799983,0.25819889,0.25819889,0.0,-0.51,9.651484454,4.49,1.776532951,3.49,32.22665705,0.0,0.0,13.8474744,5.917906046,0.0,6.069221313,0.0,23.79,0.0,0.0,5.261891555,0.0,7.893518519,2.027777778,0.0,3.722222222,5,0,0,1.16598,20.451,0,0,0,0
sample_218,427.1,5.321651235,0.742777778,5.321651235,0.40247002,127.014,118.95,126.0003056,38,0.022337405,-0.126716226,0.126716226,0.022337405,0.833333333,1.166666667,1.333333333,35.49675491,10.38243801,1.778533237,-1.828570709,1.916437668,-1.741754281,6.182524053,0.898784447,17.509775,4.828427125,5.096213963,2.914213562,3.103567451,1.8410002,0.517261242,1.051783726,0.56694671,0.58,20.98630086,6.58,5.58,4.58,48.44060982,0.0,0.0,12.84164325,11.76000689,0.0,0.0,11.76000689,0.0,0.0,0.0,23.20187978,0.0,0.0,0.0,2.093364198,0.0,6,0,0,2.2442,30.674,0,0,0,1
sample_219,364.4,3.373263889,0.696759259,3.373263889,0.485589231,137.02,127.948,135.9887624,32,0.011445026,-0.089380671,0.089380671,0.011445026,1.8,2.0,2.0,79.91873317,10.38836649,1.82135695,-1.87582263,1.987307669,-1.7976239,9.092287575,0.921776241,17.60964047,4.28445705,5.248418063,2.27005561,2.82659876,2.752173726,0.56255164,1.210032016,0.0,0.48,9.651484454,5.48,2.703214286,4.48,41.70162498,0.0,29.7774183,6.420821623,4.82717407,0.0,0.0,4.82717407,0.0,6.420821623,29.7774183,0.0,0.0,0.0,0.0,1.222222222,4.291087963,5,0,0,2.1798,28.68,0,0,0,0
